PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
Pacôme Dadiet,NYK,19,1,0,1,2.6,150,140,10,0,0,0,0,0,0,0,100,100,25,84.16,16.7,4
Kobe Brown,LAC,25,3,1,2,4.8,145.2,80.6,64.5,44.4,0,33.3,0,7.7,4.2,0,93.8,94.8,22.2,102.5,35.4,31
Tyler Kolek,NYK,24,2,1,1,2.3,144.4,80,64.4,0,0,0,0,11.1,9.1,0,150,150,11.1,99.13,22.9,9
Cam Christie,LAC,19,3,1,2,4.3,139.3,77.8,61.5,0,0,0,0,18.2,9.5,25,83.3,83.3,12.5,101.93,12.9,28
Drew Eubanks,LAC,28,3,1,2,4.4,139.3,77.8,61.5,0,0,0,0,9.1,4.5,0,0,43.1,15.2,100.13,-2.2,28
Jordan Miller,LAC,25,3,1,2,4.4,139.3,77.8,61.5,36.4,0,33.3,0,18.2,9.1,0,42.9,44.4,24.2,100.13,24.7,28
Isaiah Stewart,DET,23,1,0,1,18.9,135,107,28,5,0,33.3,6.7,18.2,13.5,0,50,50,4.4,105.56,2.9,40
Isaac Okoro,CLE,24,9,5,4,14.2,125.4,106.7,18.7,5.1,1.25,11.6,3.5,5.5,4.5,9.3,60,61.2,12.9,100.06,5,264
Sam Merrill,CLE,29,8,5,3,19.9,125.2,109,16.2,11.5,7,24.6,4.1,8.5,6.2,3.5,55,55.7,11.3,97.94,5.3,326
Chuma Okeke,CLE,26,3,2,1,4.3,125,76.9,48.1,10,0,20,0,0,0,0,37.5,37.5,13.8,93.75,4.5,24
Tristan Thompson,CLE,34,3,2,1,9.8,125,78.7,46.3,4,0.5,10,8.3,37.1,25.4,20,50,47.8,13.2,99.23,13,60
Jarrett Allen,CLE,27,9,5,4,29,123.9,110.9,13,6.4,0.71,11.2,8,21.6,14.6,15.9,72.1,79.2,15.3,98.11,14.5,535
Max Strus,CLE,29,9,5,4,28.1,123.7,111.9,11.8,18.3,5,26.1,5.8,15.5,10.1,5.2,56.2,57.3,16.1,99.97,9.5,524
De'Andre Hunter,CLE,27,8,5,3,23.2,123.5,107.8,15.7,6.3,1.14,9,3.2,12.2,7.7,7.9,52.4,59.1,18.3,99.64,8.5,383
Myles Turner,IND,29,10,8,2,31,122.9,113.3,9.5,5.7,1.08,8.4,4.7,13.9,9.7,7.7,59.3,64.3,20.2,99.87,10.9,643
Ty Jerome,CLE,27,9,5,4,21.3,122.7,105.4,17.3,25.8,2.91,22.4,2.5,9.2,5.8,7.7,47.8,52.1,24.3,98.54,9.9,396
Damian Lillard,MIL,34,3,1,2,24.9,122.5,114,8.5,21.9,4.67,29.8,1.3,9.7,5.4,6.4,27.8,34.9,18.9,99.02,3.6,151
