PLAYER,TEAM,POS,Defensive Impact Score
Kawhi Leonard,LAC,SF,100.0
Shai Gilgeous-Alexander,OKC,PG,98.25588371126639
Anthony Davis,LAL,C,97.36921840494328
Victor Wembanyama,SAS,C,96.43920600551246
Alex Caruso,CHI,SG,96.05222994830953
Kevin Durant,PHX,PF,91.54965638594271
Dejounte Murray,ATL,SG,90.867238725283
Fred VanVleet,HOU,PG,90.0524420584798
Luka Dončić,DAL,PG,89.90242366704413
De'Aaron Fox,SAC,PG,88.99108823459248
Derrick White,BOS,SG,87.43931165139516
Miles Bridges,CHA,SF,86.95621398061017
LeBron James,LAL,PF,85.91430641915638
Giannis Antetokounmpo,MIL,PF,85.15474810938944
DeMar DeRozan,CHI,SF,84.7239513459616
Tyrese Haliburton,IND,PG,84.20711048253831
James Harden,LAC,PG,82.89022538196778
Daniel Gafford,DAL,PF,82.45353221936914
Herbert Jones,NOP,SF,82.22494893980186
Jaren Jackson Jr.,MEM,C,80.68029504551313
Anthony Edwards,MIN,SG,80.26344647243072
Kentavious Caldwell-Pope,DEN,SG,79.50908014515129
Jaylen Brown,BOS,SF,79.28893696292768
Grayson Allen,PHX,SG,79.20696925725011
Nikola Jokić,DEN,C,77.73224348214394
