PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
Payton Pritchard,BOS,26,82,64,18,22.3,122.8,109.2,13.6,20.8,4.61,28,3.8,10.3,7.1,6.1,58.3,59.7,16.8,97.16,10.3,3673
Tyrese Haliburton,IND,24,69,40,29,32.2,122.4,116.2,6.2,44.4,4.73,37,1.6,10.2,6,7.8,57,60.5,23.9,103.42,15.7,4789
Nikola Jokić,DEN,29,79,55,24,34.6,122.4,110.6,11.8,39.1,2.99,27.9,8.6,27,18.2,9.3,61.2,65,28.8,98.05,21.1,5599
Derrick White,BOS,29,73,58,15,32.6,122.4,109.9,12.5,20.9,3.37,27.1,2.2,10,6.3,8.1,57.8,61.1,18.3,99.48,10.6,4935
Kentavious Caldwell-Pope,DEN,31,76,54,22,31.6,122.4,111,11.3,9,2.44,20.7,1.4,6.2,3.9,8.5,56.6,60.2,12.6,97.99,6.1,4910
De'Anthony Melton,PHI,26,38,25,13,26.9,122,112,10,14.4,2.92,20.8,2.7,11.1,6.9,7.1,49.3,53.3,17.7,101.13,7.9,2157
Luke Kornet,BOS,28,63,48,15,15.6,121.8,109.7,12.1,8.9,3.19,21.3,11.7,14.1,12.9,6.7,70.2,73.6,10.7,96.92,11.3,1976
Jayson Tatum,BOS,26,74,57,17,35.7,121.7,110.5,11.2,21.1,1.94,16.7,2.6,18.7,11,8.6,55.2,60.4,29.6,98.64,15.5,5436
Sam Hauser,BOS,26,79,62,17,22,121.3,107.1,14.2,6.2,2.56,12.1,2.5,12.2,7.5,4.7,62.3,62.9,14.6,98.48,8.6,3564
Paul George,LAC,34,74,48,26,33.8,121.2,112.1,9.1,15.7,1.71,14.8,1.6,13.8,8,8.7,56.9,61.3,26.4,97.47,12.6,5080
Jalen Brunson,NYK,27,77,49,28,35.4,121.2,112.6,8.6,31.5,2.79,20.5,1.5,8.8,5.1,7.4,54.3,59.2,31.1,96.68,15.6,5508
Shai Gilgeous-Alexander,OKC,25,75,55,20,34,121,109.7,11.3,28.7,2.87,19.5,2.6,12.8,8,6.8,56.7,63.6,31.7,102.45,18.7,5447
Al Horford,BOS,38,65,51,14,26.8,120.9,109.5,11.4,12.4,3.5,25.9,4.8,17.8,11.6,7.4,64,65,11.9,98.77,10.5,3585
James Harden,LAC,34,72,46,26,34.3,120.9,115.2,5.6,33.8,3.32,35.1,1.5,13.4,7.7,10.6,54.1,61.2,20.2,96.87,13.1,4988
Kristaps Porziņģis,BOS,28,57,43,14,29.6,120.8,109.6,11.2,9.8,1.29,10.6,5.9,16.3,11.5,8.2,58.9,64.7,24.7,100.55,13.8,3549
Danté Exum,DAL,28,55,36,19,19.8,120.7,110.5,10.3,18.1,3.2,29.1,2.3,10.8,6.7,9.1,62.1,64.5,14.8,101.9,9.3,2310
Jamal Murray,DEN,27,59,44,15,31.5,120.7,112.4,8.2,29.6,3.07,24.6,2.4,10.5,6.6,8,55.4,58.6,27.3,97.75,13.7,3790
Dereck Lively II,DAL,20,55,35,20,23.5,120.6,115.6,5,6,1.2,13.6,10.6,17.9,14.4,11.4,74.7,72.8,12.4,100.89,10.2,2724
Myles Turner,IND,28,77,45,32,27,120.6,115.5,5.1,6.5,0.92,8,5.6,19.8,12.8,8.7,58.7,62.6,23.4,102.52,11.6,4432
Jrue Holiday,BOS,34,69,53,16,32.8,120.6,110.9,9.7,19.6,2.69,28.3,3.8,11.7,7.9,10.5,58.1,59.7,16.1,98.91,9.9,4653
Jusuf Nurkić,PHX,29,76,48,28,27.3,120.5,111.3,9.2,18.6,1.72,24.7,11.5,28.4,20.4,14.4,52.8,55.9,18.7,99.9,12,4327
Isaiah Hartenstein,NYK,26,75,47,28,25.3,120.3,110.3,10,12.7,2.02,26.6,12.9,20.1,16.5,13.2,64.5,67,11.6,97.89,11.3,3876
Michael Porter Jr.,DEN,26,81,57,24,31.7,120.2,112.1,8.1,6.4,1.33,9.1,4.2,17.7,11.1,6.9,58.6,60.1,20.2,97.81,10.6,5247
Jaylen Brown,BOS,27,70,52,18,33.5,120.2,111.6,8.7,16.5,1.5,13.9,3.7,11.9,8,9.3,55.7,58,28.3,99.94,11.6,4873
Obi Toppin,IND,26,82,47,35,21.1,120.2,116.6,3.6,9.1,1.86,15.7,4.9,13.7,9.3,8.4,66.1,67.7,16,104.97,10.1,3786
Luguentz Dort,OKC,25,79,54,25,28.4,119.9,112.1,7.8,6.1,1.53,12.4,3.5,8.9,6.3,8.1,55.7,59.3,15.2,101.99,6,4762
Giannis Antetokounmpo,MIL,29,73,45,28,35.2,119.8,113.2,6.6,31.4,1.9,19.6,7.7,23.7,15.9,10.3,62.4,64.9,32,102.1,19.7,5451
Joel Embiid,PHI,30,39,31,8,33.6,119.8,109.5,10.3,31.5,1.46,15.4,7.4,23.9,16,10.6,56.1,64.4,38.7,101.09,22.5,2750
